cell_id,regime_label,tags,true_risky_success_prob,safe_length,risky_samples,observed_successes,observed_failures,observed_success_rate,method,exact_optimal_action,estimated_action,matches_exact_action,risky_action_selected,policy_regret,q_risky_true,q_safe_true,q_risky_estimate,q_safe_estimate,risky_value_overestimation,risky_value_underestimation,risky_q_calibration_error,prior_dependent_by_quantiles,empirical_identifiable_by_confidence_set
matched_risk_optimal_high_coverage,matched_risk_optimal,matched;ambiguous;risky_optimal,0.9,4,16,15,1,0.9375,empirical_model_dp,risky,risky,True,True,0.0,0.81,0.6561,0.84375,0.6561,0.03374999999999995,0.0,0.03374999999999995,False,False
matched_risk_optimal_high_coverage,matched_risk_optimal,matched;ambiguous;risky_optimal,0.9,4,16,15,1,0.9375,posterior_mean_dp_beta_1_1,risky,risky,True,True,0.0,0.81,0.6561,0.7999999999999999,0.6561,0.0,0.01000000000000012,0.01000000000000012,False,False
matched_risk_optimal_high_coverage,matched_risk_optimal,matched;ambiguous;risky_optimal,0.9,4,16,15,1,0.9375,posterior_lower_q10_dp_beta_1_1,risky,risky,True,True,0.0,0.81,0.6561,0.7108500000000001,0.6561,0.0,0.09914999999999996,0.09914999999999996,False,False
matched_risk_optimal_high_coverage,matched_risk_optimal,matched;ambiguous;risky_optimal,0.9,4,16,15,1,0.9375,posterior_upper_q90_dp_beta_1_1,risky,risky,True,True,0.0,0.81,0.6561,0.8715,0.6561,0.0615,0.0,0.0615,False,False
matched_risk_optimal_high_coverage,matched_risk_optimal,matched;ambiguous;risky_optimal,0.9,4,16,15,1,0.9375,robust_lcb_dp_delta_0_2,risky,safe,False,False,0.15390000000000004,0.81,0.6561,0.6023288220424484,0.6561,0.0,0.20767117795755163,0.20767117795755163,False,False
matched_risk_optimal_high_coverage,matched_risk_optimal,matched;ambiguous;risky_optimal,0.9,4,16,15,1,0.9375,robust_ucb_dp_delta_0_2,risky,risky,True,True,0.0,0.81,0.6561,0.9,0.6561,0.08999999999999997,0.0,0.08999999999999997,False,False
safe_lucky_only_stress,lucky_only_safe_optimal,lucky_only;ambiguous;prior_dependent;safe_optimal,0.25,3,4,4,0,1.0,raw_trl,safe,risky,False,True,0.5040000000000001,0.225,0.7290000000000001,0.9,0.7290000000000001,0.675,0.0,0.675,True,False
safe_lucky_only_stress,lucky_only_safe_optimal,lucky_only;ambiguous;prior_dependent;safe_optimal,0.25,3,4,4,0,1.0,trl_log,safe,risky,False,True,0.5040000000000001,0.225,0.7290000000000001,0.9,0.7290000000000001,0.675,0.0,0.675,True,False
safe_lucky_only_stress,lucky_only_safe_optimal,lucky_only;ambiguous;prior_dependent;safe_optimal,0.25,3,4,4,0,1.0,empirical_risky_value,safe,risky,False,True,0.5040000000000001,0.225,0.7290000000000001,0.9,0.7290000000000001,0.675,0.0,0.675,True,False
safe_lucky_only_stress,lucky_only_safe_optimal,lucky_only;ambiguous;prior_dependent;safe_optimal,0.25,3,4,4,0,1.0,empirical_model_dp,safe,risky,False,True,0.5040000000000001,0.225,0.7290000000000001,0.9,0.7290000000000001,0.675,0.0,0.675,True,False
safe_lucky_only_stress,lucky_only_safe_optimal,lucky_only;ambiguous;prior_dependent;safe_optimal,0.25,3,4,4,0,1.0,posterior_mean_dp_beta_1_1,safe,risky,False,True,0.5040000000000001,0.225,0.7290000000000001,0.75,0.7290000000000001,0.525,0.0,0.525,True,False
safe_lucky_only_stress,lucky_only_safe_optimal,lucky_only;ambiguous;prior_dependent;safe_optimal,0.25,3,4,4,0,1.0,posterior_lower_q10_dp_beta_1_1,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.5679000000000001,0.7290000000000001,0.3429000000000001,0.0,0.3429000000000001,True,False
safe_lucky_only_stress,lucky_only_safe_optimal,lucky_only;ambiguous;prior_dependent;safe_optimal,0.25,3,4,4,0,1.0,posterior_upper_q90_dp_beta_1_1,safe,risky,False,True,0.5040000000000001,0.225,0.7290000000000001,0.88125,0.7290000000000001,0.65625,0.0,0.65625,True,False
safe_lucky_only_stress,lucky_only_safe_optimal,lucky_only;ambiguous;prior_dependent;safe_optimal,0.25,3,4,4,0,1.0,robust_lcb_dp_delta_0_2,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.4171576440848969,0.7290000000000001,0.1921576440848969,0.0,0.1921576440848969,True,False
safe_lucky_only_stress,lucky_only_safe_optimal,lucky_only;ambiguous;prior_dependent;safe_optimal,0.25,3,4,4,0,1.0,robust_ucb_dp_delta_0_2,safe,risky,False,True,0.5040000000000001,0.225,0.7290000000000001,0.9,0.7290000000000001,0.675,0.0,0.675,True,False
safe_no_success_identifiable,no_success_safe_optimal,no_success;identifiable;safe_optimal,0.25,3,8,0,8,0.0,raw_trl,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.0,0.7290000000000001,0.0,0.225,0.225,False,True
safe_no_success_identifiable,no_success_safe_optimal,no_success;identifiable;safe_optimal,0.25,3,8,0,8,0.0,trl_log,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.0,0.7290000000000001,0.0,0.225,0.225,False,True
safe_no_success_identifiable,no_success_safe_optimal,no_success;identifiable;safe_optimal,0.25,3,8,0,8,0.0,empirical_risky_value,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.0,0.7290000000000001,0.0,0.225,0.225,False,True
safe_no_success_identifiable,no_success_safe_optimal,no_success;identifiable;safe_optimal,0.25,3,8,0,8,0.0,empirical_model_dp,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.0,0.7290000000000001,0.0,0.225,0.225,False,True
safe_no_success_identifiable,no_success_safe_optimal,no_success;identifiable;safe_optimal,0.25,3,8,0,8,0.0,posterior_mean_dp_beta_1_1,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.09000000000000001,0.7290000000000001,0.0,0.135,0.135,False,True
safe_no_success_identifiable,no_success_safe_optimal,no_success;identifiable;safe_optimal,0.25,3,8,0,8,0.0,posterior_lower_q10_dp_beta_1_1,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.0105,0.7290000000000001,0.0,0.2145,0.2145,False,True
safe_no_success_identifiable,no_success_safe_optimal,no_success;identifiable;safe_optimal,0.25,3,8,0,8,0.0,posterior_upper_q90_dp_beta_1_1,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.20325000000000001,0.7290000000000001,0.0,0.02174999999999999,0.02174999999999999,False,True
safe_no_success_identifiable,no_success_safe_optimal,no_success;identifiable;safe_optimal,0.25,3,8,0,8,0.0,robust_lcb_dp_delta_0_2,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.0,0.7290000000000001,0.0,0.225,0.225,False,True
safe_no_success_identifiable,no_success_safe_optimal,no_success;identifiable;safe_optimal,0.25,3,8,0,8,0.0,robust_ucb_dp_delta_0_2,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.34142110411165794,0.7290000000000001,0.11642110411165793,0.0,0.11642110411165793,False,True
risk_no_success_stress,no_success_risk_optimal,no_success;identifiable;risky_optimal,0.9,3,8,0,8,0.0,raw_trl,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.0,0.7290000000000001,0.0,0.81,0.81,False,True
risk_no_success_stress,no_success_risk_optimal,no_success;identifiable;risky_optimal,0.9,3,8,0,8,0.0,trl_log,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.0,0.7290000000000001,0.0,0.81,0.81,False,True
risk_no_success_stress,no_success_risk_optimal,no_success;identifiable;risky_optimal,0.9,3,8,0,8,0.0,empirical_risky_value,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.0,0.7290000000000001,0.0,0.81,0.81,False,True
risk_no_success_stress,no_success_risk_optimal,no_success;identifiable;risky_optimal,0.9,3,8,0,8,0.0,empirical_model_dp,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.0,0.7290000000000001,0.0,0.81,0.81,False,True
risk_no_success_stress,no_success_risk_optimal,no_success;identifiable;risky_optimal,0.9,3,8,0,8,0.0,posterior_mean_dp_beta_1_1,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.09000000000000001,0.7290000000000001,0.0,0.7200000000000001,0.7200000000000001,False,True
risk_no_success_stress,no_success_risk_optimal,no_success;identifiable;risky_optimal,0.9,3,8,0,8,0.0,posterior_lower_q10_dp_beta_1_1,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.0105,0.7290000000000001,0.0,0.7995000000000001,0.7995000000000001,False,True
risk_no_success_stress,no_success_risk_optimal,no_success;identifiable;risky_optimal,0.9,3,8,0,8,0.0,posterior_upper_q90_dp_beta_1_1,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.20325000000000001,0.7290000000000001,0.0,0.60675,0.60675,False,True
risk_no_success_stress,no_success_risk_optimal,no_success;identifiable;risky_optimal,0.9,3,8,0,8,0.0,robust_lcb_dp_delta_0_2,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.0,0.7290000000000001,0.0,0.81,0.81,False,True
risk_no_success_stress,no_success_risk_optimal,no_success;identifiable;risky_optimal,0.9,3,8,0,8,0.0,robust_ucb_dp_delta_0_2,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.34142110411165794,0.7290000000000001,0.0,0.4685788958883421,0.4685788958883421,False,True
ambiguous_safe_optimal_boundary,ambiguous_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.75,3,4,3,1,0.75,raw_trl,safe,risky,False,True,0.05400000000000005,0.675,0.7290000000000001,0.9,0.7290000000000001,0.22499999999999998,0.0,0.22499999999999998,True,False
ambiguous_safe_optimal_boundary,ambiguous_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.75,3,4,3,1,0.75,trl_log,safe,safe,True,False,0.0,0.675,0.7290000000000001,0.675,0.7290000000000001,0.0,0.0,0.0,True,False
ambiguous_safe_optimal_boundary,ambiguous_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.75,3,4,3,1,0.75,empirical_risky_value,safe,safe,True,False,0.0,0.675,0.7290000000000001,0.675,0.7290000000000001,0.0,0.0,0.0,True,False
ambiguous_safe_optimal_boundary,ambiguous_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.75,3,4,3,1,0.75,empirical_model_dp,safe,safe,True,False,0.0,0.675,0.7290000000000001,0.675,0.7290000000000001,0.0,0.0,0.0,True,False
ambiguous_safe_optimal_boundary,ambiguous_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.75,3,4,3,1,0.75,posterior_mean_dp_beta_1_1,safe,safe,True,False,0.0,0.675,0.7290000000000001,0.6,0.7290000000000001,0.0,0.07500000000000007,0.07500000000000007,True,False
ambiguous_safe_optimal_boundary,ambiguous_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.75,3,4,3,1,0.75,posterior_lower_q10_dp_beta_1_1,safe,safe,True,False,0.0,0.675,0.7290000000000001,0.37455000000000005,0.7290000000000001,0.0,0.30045,0.30045,True,False
ambiguous_safe_optimal_boundary,ambiguous_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.75,3,4,3,1,0.75,posterior_upper_q90_dp_beta_1_1,safe,risky,False,True,0.05400000000000005,0.675,0.7290000000000001,0.79905,0.7290000000000001,0.12405,0.0,0.12405,True,False
ambiguous_safe_optimal_boundary,ambiguous_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.75,3,4,3,1,0.75,robust_lcb_dp_delta_0_2,safe,safe,True,False,0.0,0.675,0.7290000000000001,0.19215764408489688,0.7290000000000001,0.0,0.48284235591510316,0.48284235591510316,True,False
ambiguous_safe_optimal_boundary,ambiguous_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.75,3,4,3,1,0.75,robust_ucb_dp_delta_0_2,safe,risky,False,True,0.05400000000000005,0.675,0.7290000000000001,0.9,0.7290000000000001,0.22499999999999998,0.0,0.22499999999999998,True,False
ambiguous_risk_optimal_boundary,ambiguous_risk_optimal,matched;ambiguous;prior_dependent;risky_optimal,0.9,3,4,3,1,0.75,raw_trl,risky,risky,True,True,0.0,0.81,0.7290000000000001,0.9,0.7290000000000001,0.08999999999999997,0.0,0.08999999999999997,True,False
ambiguous_risk_optimal_boundary,ambiguous_risk_optimal,matched;ambiguous;prior_dependent;risky_optimal,0.9,3,4,3,1,0.75,trl_log,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.675,0.7290000000000001,0.0,0.135,0.135,True,False
ambiguous_risk_optimal_boundary,ambiguous_risk_optimal,matched;ambiguous;prior_dependent;risky_optimal,0.9,3,4,3,1,0.75,empirical_risky_value,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.675,0.7290000000000001,0.0,0.135,0.135,True,False
ambiguous_risk_optimal_boundary,ambiguous_risk_optimal,matched;ambiguous;prior_dependent;risky_optimal,0.9,3,4,3,1,0.75,empirical_model_dp,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.675,0.7290000000000001,0.0,0.135,0.135,True,False
ambiguous_risk_optimal_boundary,ambiguous_risk_optimal,matched;ambiguous;prior_dependent;risky_optimal,0.9,3,4,3,1,0.75,posterior_mean_dp_beta_1_1,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.6,0.7290000000000001,0.0,0.21000000000000008,0.21000000000000008,True,False
ambiguous_risk_optimal_boundary,ambiguous_risk_optimal,matched;ambiguous;prior_dependent;risky_optimal,0.9,3,4,3,1,0.75,posterior_lower_q10_dp_beta_1_1,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.37455000000000005,0.7290000000000001,0.0,0.43545,0.43545,True,False
ambiguous_risk_optimal_boundary,ambiguous_risk_optimal,matched;ambiguous;prior_dependent;risky_optimal,0.9,3,4,3,1,0.75,posterior_upper_q90_dp_beta_1_1,risky,risky,True,True,0.0,0.81,0.7290000000000001,0.79905,0.7290000000000001,0.0,0.010950000000000015,0.010950000000000015,True,False
ambiguous_risk_optimal_boundary,ambiguous_risk_optimal,matched;ambiguous;prior_dependent;risky_optimal,0.9,3,4,3,1,0.75,robust_lcb_dp_delta_0_2,risky,safe,False,False,0.08099999999999996,0.81,0.7290000000000001,0.19215764408489688,0.7290000000000001,0.0,0.6178423559151032,0.6178423559151032,True,False
ambiguous_risk_optimal_boundary,ambiguous_risk_optimal,matched;ambiguous;prior_dependent;risky_optimal,0.9,3,4,3,1,0.75,robust_ucb_dp_delta_0_2,risky,risky,True,True,0.0,0.81,0.7290000000000001,0.9,0.7290000000000001,0.08999999999999997,0.0,0.08999999999999997,True,False
prior_dependent_safe_optimal,prior_dependent_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.5,4,4,3,1,0.75,raw_trl,safe,risky,False,True,0.2061,0.45,0.6561,0.9,0.6561,0.45,0.0,0.45,True,False
prior_dependent_safe_optimal,prior_dependent_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.5,4,4,3,1,0.75,trl_log,safe,risky,False,True,0.2061,0.45,0.6561,0.675,0.6561,0.22500000000000003,0.0,0.22500000000000003,True,False
prior_dependent_safe_optimal,prior_dependent_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.5,4,4,3,1,0.75,empirical_risky_value,safe,risky,False,True,0.2061,0.45,0.6561,0.675,0.6561,0.22500000000000003,0.0,0.22500000000000003,True,False
prior_dependent_safe_optimal,prior_dependent_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.5,4,4,3,1,0.75,empirical_model_dp,safe,risky,False,True,0.2061,0.45,0.6561,0.675,0.6561,0.22500000000000003,0.0,0.22500000000000003,True,False
prior_dependent_safe_optimal,prior_dependent_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.5,4,4,3,1,0.75,posterior_mean_dp_beta_1_1,safe,safe,True,False,0.0,0.45,0.6561,0.6,0.6561,0.14999999999999997,0.0,0.14999999999999997,True,False
prior_dependent_safe_optimal,prior_dependent_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.5,4,4,3,1,0.75,posterior_lower_q10_dp_beta_1_1,safe,safe,True,False,0.0,0.45,0.6561,0.37455000000000005,0.6561,0.0,0.07544999999999996,0.07544999999999996,True,False
prior_dependent_safe_optimal,prior_dependent_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.5,4,4,3,1,0.75,posterior_upper_q90_dp_beta_1_1,safe,risky,False,True,0.2061,0.45,0.6561,0.79905,0.6561,0.34905,0.0,0.34905,True,False
prior_dependent_safe_optimal,prior_dependent_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.5,4,4,3,1,0.75,robust_lcb_dp_delta_0_2,safe,safe,True,False,0.0,0.45,0.6561,0.19215764408489688,0.6561,0.0,0.2578423559151031,0.2578423559151031,True,False
prior_dependent_safe_optimal,prior_dependent_safe_optimal,matched;ambiguous;prior_dependent;safe_optimal,0.5,4,4,3,1,0.75,robust_ucb_dp_delta_0_2,safe,risky,False,True,0.2061,0.45,0.6561,0.9,0.6561,0.45,0.0,0.45,True,False
